,Title,Year,Genre,Plot,Kind,Gross,lemmatized_Plot
3511,Cheat,2020,Drama,"When a young man befriends a family of 3 siblings and their mother, his strange charm sets off a series of events that will affect them all with tragic results. Cheat is a Boys' Love series like no other - dabbling in supernatural and psychological worlds; exploring emotions of jealousy, anger, lies, betrayal, sex, magic, and ultimately, a descent into madness.Written byHue TVEverywhere",tv,,"['young', 'man', 'befriend', 'family', 'sibling', 'mother', 'strange', 'charm', 'set', 'series', 'event', 'affect', 'tragic', 'result', 'cheat', 'boy', 'love', 'series', 'dabble', 'supernatural', 'psychological', 'world', 'explore', 'emotion', 'jealousy', 'anger', 'lie', 'betrayal', 'sex', 'magic', 'ultimately', 'descent', 'madness']"
3512,Kurdapya,1954,Comedy,"Kurdapya (Gloria Romero) is an ugly girl with crook teeth and is in love with a muscular handsome man a character played by Ramon Revilla. Unknown to her, she has a twin sister which is exactly opposite her - beautiful woman with very long silky hair. The riotous comedy begins.Written byCombat Boots Everyday",movie,,"['ugly', 'girl', 'crook', 'tooth', 'love', 'muscular', 'handsome', 'man', 'character', 'play', 'unknown', 'twin', 'sister', 'exactly', 'opposite', 'beautiful', 'woman', 'long', 'silky', 'hair', 'riotous', 'comedy', 'begin']"
3515,Son of God,2010,Documentary,About a dwarf who is venerated as the son of God by his deeply religious followers in the Philippines.,movie,,"['dwarf', 'venerate', 'son', 'god', 'deeply', 'religious', 'follower', 'philippine']"
3516,The Achy Breaky Hearts,2016,"Comedy, Romance",A woman in her 30s suffering from a dearth of men that meet her high standards suddenly finds herself having to choose between two very desirable prospects.,movie,"$21,096","['woman', 'suffer', 'dearth', 'man', 'meet', 'high', 'standard', 'suddenly', 'find', 'choose', 'desirable', 'prospect']"
3517,Angustia,1963,Drama,One moment of indiscretion and this famed movie star went down - down - down - losing everything but the shame of that moment.,movie,,"['moment', 'indiscretion', 'famed', 'movie', 'star', 'go', 'lose', 'shame', 'moment']"
3519,Hamog,2015,"Crime, Drama",Ralston Jover's unique blend of special and magic realism takes a look at the lives of four street children whose world is about to be turned upside down and inside out. Life begins where innocence ends.,movie,,"['ralston', 'jover', 'unique', 'blend', 'special', 'magic', 'realism', 'take', 'look', 'life', 'street', 'child', 'world', 'life', 'begin', 'innocence', 'end']"
3524,Bekikang: Ang nanay kong beki,2013,Comedy,"Bekikang is left and abandoned with a baby boy by friend, Fortunato. He loves and raises the child as his own flesh and blood. When things are going so well between Bekikang and the child, Fortunato and the mother of the child after years of absence reappear to take the child back.Written bycinesum",movie,"$318,095","['bekikang', 'leave', 'abandon', 'baby', 'boy', 'friend', 'raise', 'child', 'flesh', 'blood', 'thing', 'go', 'well', 'child', 'mother', 'child', 'year', 'absence', 'reappear', 'take', 'child', 'back']"
3526,Tag-ulan sa tag-araw,1975,"Drama, Romance","A young co-ed falls in love with her first-degree cousin, who stays with her family while studying in Manila. Their forbidden affair, which they keep secret from their family, is revealed when she becomes pregnant. For the scandalized family, abortion is the only solution left, which the two lovers resist.Written byanonymous",movie,,"['young', 'coed', 'fall', 'love', 'firstdegree', 'cousin', 'stay', 'family', 'study', 'manila', 'forbid', 'affair', 'keep', 'secret', 'family', 'reveal', 'become', 'pregnant', 'scandalize', 'family', 'abortion', 'solution', 'leave', 'lover', 'resist']"
3527,Mamarazzi,2010,Comedy,"Violy, a single mother constantly pries into the lives of her three children. Fifteen years prior, she learns she must have a hysterectomy. Having no man in her life, but wanting children, she seeks the help of her gay best friend, Mandy. Mandy offers his boyfriend, Carlo to serve as the sperm donor, resulting in triplets. Carlo then disappears from their lives. Philippines Filipino movie.",movie,"$493,470","['single', 'mother', 'constantly', 'pry', 'live', 'child', 'year', 'prior', 'learn', 'hysterectomy', 'man', 'life', 'want', 'child', 'seek', 'help', 'gay', 'mandy', 'offer', 'boyfriend', 'carlo', 'serve', 'sperm', 'donor', 'result', 'triplet', 'carlo', 'disappear', 'live', 'philippine', 'filipino', 'movie']"
3530,1st ko si 3rd,2014,"Comedy, Drama, Romance","On the first day of her retirement, 65-year-old Cory busies herself by cleaning her house until it was immaculate and spotless. Still, something does not feel right. She is not used to the silence and to spending every waking hour with just her husband, Alejandro. She wonders if this is all she is to do and can expect for the rest of her life, after spending a good deal of it working so hard. Alejandro notices the changes in Cory. Their fights seem to be a side-effect of Cory?s retirement. Now that she is no longer working, she feels useless as a person and worthless as a woman. Then unexpectedly, Cory bumps into Third, her first love. Third was the first man who made her fall in love deeply. He was her teenage dream. She cannot forget Third because their first date never happened. Try as she might, Cory is almost bursting with happiness seeing Third again. Her life suddenly becomes more colorful and exciting as she realizes she can spend her days doing things she never had time for ...",movie,,"['first', 'day', 'retirement', 'cory', 'busy', 'clean', 'house', 'immaculate', 'spotless', 'still', 'feel', 'right', 'use', 'silence', 'spend', 'wake', 'hour', 'husband', 'wonder', 'expect', 'rest', 'life', 'spend', 'good', 'deal', 'work', 'hard', 'notice', 'change', 'cory', 'fight', 'seem', 'sideeffect', 'cory', 'retirement', 'long', 'work', 'feel', 'useless', 'person', 'worthless', 'woman', 'unexpectedly', 'cory', 'bump', 'third', 'first', 'love', 'third', 'first', 'man', 'make', 'fall', 'love', 'deeply', 'teenage', 'dream', 'can_not', 'forget', 'third', 'first', 'date', 'never', 'happen', 'try', 'cory', 'almost', 'burst', 'happiness', 'see', 'third', 'life', 'suddenly', 'become', 'colorful', 'exciting', 'realize', 'spend', 'day', 'thing', 'never', 'time']"
3533,Serafin Geronimo: Ang kriminal ng Baryo Concepcion,1998,"Action, Crime, Drama","A man appears to a female reporter and claims he is the famous kidnapper that has the world astir and promises to turn himself in if she listens to his story. Though she is suspicious of him, she starts to fall more and more into his story.Written byPusan International Film Festival",movie,,"['man', 'appear', 'female', 'reporter', 'claim', 'famous', 'kidnapper', 'world', 'astir', 'promise', 'turn', 'listen', 'story', 'suspicious', 'start', 'fall', 'story']"
3536,Ang tanging ina n'yong lahat,2008,Comedy,"An unstoppable mother of twelve children gets a job at the presidential palace and ends up in the public eye after unwittingly saving the president's life. She gets thrust onto the national stage, and soon finds herself running for president, charming the country with her own unique brand of mother widom.",movie,,"['unstoppable', 'mother', 'child', 'get', 'job', 'presidential', 'palace', 'end', 'public', 'eye', 'unwittingly', 'save', 'president', 'life', 'thrust', 'national', 'stage', 'soon', 'find', 'run', 'president', 'charming', 'country', 'unique', 'brand', 'mother', 'widom']"
3537,The Sister,2016,Drama,"In the midst of the traditional moryonan rites observed every Holy Week in the island province of Marinduque, Mariana receives a devastating news from abroad - her sister, Magda, who was working as a domestic helper in Saudi Arabia is dead. Mariana and her mother then have to deal with the tedious and expensive process of repatriating the remains of Magda. Living on top of a mountain of mine tailings in an abandoned mining site, Mariana has very few options to raise funds. Their livelihood of selling and repairing moryon masks has been increasingly unprofitable of late. Their neighbors on the other hand are too busy trying to figure out where to relocate as they are being forced to make way for the resumption of mining operations in the area. As Mariana tries to raise the funds necessary to bring back her sister's remains, her faith and determination are put to a test as she is forced to navigate through a sea of difficult choices while also coming to terms with her own past of grief ...Written byanonymous",movie,,"['midst', 'traditional', 'moryonan', 'rite', 'observe', 'holy', 'week', 'island', 'province', 'marinduque', 'receive', 'devastating', 'news', 'abroad', 'sister', 'work', 'saudi', 'arabia', 'dead', 'mother', 'deal', 'tedious', 'expensive', 'process', 'repatriate', 'remain', 'magda', 'live', 'top', 'mountain', 'mine', 'tailing', 'abandon', 'mining', 'site', 'mariana', 'option', 'raise', 'fund', 'livelihood', 'selling', 'repair', 'moryon', 'mask', 'increasingly', 'unprofitable', 'late', 'neighbor', 'hand', 'busy', 'try', 'figure', 'relocate', 'force', 'make', 'way', 'resumption', 'mining', 'operation', 'area', 'mariana', 'try', 'raise', 'fund', 'necessary', 'bring', 'back', 'sister', 'remain', 'faith', 'determination', 'put_t', 'force', 'navigate', 'sea', 'difficult', 'choice', 'also', 'come', 'term', 'grief']"
3539,Saan nagtatago ang pag-ibig?,1987,Drama,"The story is about a mentally retarded young man, Val. His older brother used him to marry his pregnant girlfriend. Inspite of his condition, Val learned to love and take care of his wife. Eventually, his wife felt the same love and affection for Val. Deep in her heart, she knew she loved Val more than anyone else. But a tragedy happened and put a very touching love story to an end.",movie,,"['story', 'mentally', 'retarded', 'young', 'man', 'val', 'use', 'marry', 'pregnant', 'girlfriend', 'inspite', 'condition', 'val', 'learn', 'love', 'wife', 'eventually', 'wife', 'feel', 'love', 'affection', 'val', 'deep', 'heart', 'know', 'love', 'val', 'else', 'tragedy', 'happen', 'put', 'touching', 'love', 'story', 'end']"
3542,Moral,1982,Drama,"Joey, Kathy, Sylvia and Maritess are not only classmates - they are the best of friends. Joey is a drug user who sleeps around. Kathy is a mediocre singer who will stop at nothing to fulfill her dreams of going big-time. Sylvia is a liberated woman who finds security in the love of her ex-husband who is now living in with another man. Maritess plays the role of a conventional housewife who is reduced to a baby-making machine. In the span of three years - from 1979 to 1982 - the film traces the lives of these four women through their seemingly desperate but also interwoven experiences and in their attempts to resolve their individual problems are mirrored the different faces of the woman in our society today.Written byAnonymous",movie,,"['maritess', 'classmate', 'best_friend', 'drug', 'user', 'sleep', 'kathy', 'mediocre', 'singer', 'stop_nothing', 'fulfill', 'dream', 'go', 'bigtime', 'liberated', 'woman', 'find', 'security', 'love', 'exhusband', 'live', 'man', 'maritess', 'plays_role', 'conventional', 'housewife', 'reduce', 'babymaking', 'machine', 'span', 'year', 'film', 'live', 'woman', 'seemingly', 'desperate', 'also', 'interweave', 'experience', 'attempt', 'resolve', 'individual', 'problem', 'mirror', 'different', 'face', 'woman', 'society', 'today']"
3544,The Secret of King Mahis Island,1988,Action,This movie starring Gary Daniels as a kung fu using treasure hunter.,movie,,"['movie', 'star', 'use', 'treasure', 'hunter']"
3548,Time & Again,2019,"Drama, Romance",Apol is a writer and a diner waitress who falls for a customer who already has a girlfriend. She then gains the ability to turn back time which she uses to go back to the way she first meets Ozzi.,movie,,"['apol', 'writer', 'diner', 'waitress', 'fall', 'customer', 'already', 'girlfriend', 'gain', 'ability', 'turn', 'back', 'time', 'use', 'go', 'back', 'way', 'first', 'meet', 'ozzi']"
3550,War Bus,1985,"Action, War","A group of soldiers in Vietnam, saving some missing in action soldiers in a schoolbus.",movie,,"['group', 'soldier', 'vietnam', 'save', 'miss', 'action', 'soldier', 'schoolbus']"
3553,Dear Heart,1981,"Drama, Romance","A rich young lady fell in love with her schoolmate who is very popular in the campus and they become lovers. The guy came from a broken family, whose his mother has a lover. The girl's father is very influential and very protective of her daughter. Due to the girl's strict father, she eloped with the guy that made her parents panicked. When she returned home, her father accused her boyfriend of kidnapping, which made the boyfriend put in jail. The girl asked her father to let him out of jail and promised that they are just young girl and boy who enjoys each other company and marrying is not yet on their mind. Due to the father's love of her daughter and with the request of the boy's parents, the boyfriend was released in jail and they celebrated on the girls birthday party.",movie,,"['rich', 'young', 'lady', 'fall', 'love', 'schoolmate', 'popular', 'campus', 'become', 'lover', 'guy', 'come', 'broken', 'family', 'mother', 'lover', 'girl', 'father', 'influential', 'protective', 'daughter', 'due', 'girl', 'strict', 'father', 'elope', 'guy', 'make', 'parent', 'panic', 'return', 'home', 'father', 'accuse', 'boyfriend', 'kidnapping', 'make', 'boyfriend', 'put', 'jail', 'girl', 'ask', 'father', 'let', 'jail', 'promise', 'young', 'girl', 'boy', 'enjoy', 'company', 'marry', 'mind', 'due', 'father', 'love', 'daughter', 'request', 'boy', 'parent', 'boyfriend', 'release', 'jail', 'celebrate', 'girl', 'birthday', 'party']"
